name,team,player_position,penalty_name,penalty_yards
Q.Jammer,San Diego,CB,Lowering the Head to Make Forcible Contact,0
Q.Jammer,San Diego,CB,Illegal Block Above the Waist,87
Q.Jammer,San Diego,CB,False Start,165
Q.Jammer,San Diego,CB,Illegal Motion,0
Q.Jammer,San Diego,CB,Illegal Touch Pass,5
Q.Jammer,San Diego,CB,Ineligible Downfield Pass,5
R.Bartell,St. Louis,CB,Offensive Too Many Men on Field,0
R.Bartell,St. Louis,CB,Ineligible Downfield Pass,10
R.Bartell,St. Louis,CB,Offensive Pass Interference,60
R.Bartell,St. Louis,CB,Defensive 12 On-field,0
R.Bartell,St. Louis,CB,Personal Foul,24
R.Bartell,St. Louis,CB,Leverage,0
R.Hood,Tennessee,CB,Delay of Game,40
R.Marshall,Carolina,CB,Illegal Procedure,0
R.Marshall,Carolina,CB,Short Free Kick,0
R.Marshall,Carolina,CB,Leverage,0
R.Marshall,Carolina,CB,Ineligible Downfield Pass,0
R.Marshall,Carolina,CB,Illegal Kick,0
R.Marshall,Carolina,CB,Defensive 12 On-field,10
R.Marshall,Carolina,CB,Illegal Crackback,0
R.Mathis,Jacksonville,CB,Lowering the Head to Initiate Contact,0
R.Mathis,Jacksonville,CB,Offside on Free Kick,10
R.Robinson,Philadelphia,CB,Face Mask (5 Yards),0
S.Brown,Cleveland,CB,Kickoff Out of Bounds,0
S.Brown,Philadelphia,CB,Ineligible Downfield Pass,10
S.Brown,Philadelphia,CB,Illegal Kick,0
S.Brown,Philadelphia,CB,Ineligible Downfield Kick,5
S.Brown,Philadelphia,CB,Illegal Wedge,0
S.Routt,Oakland,CB,Delay of Kickoff,0
S.Routt,Oakland,CB,Running Into the Kicker,15
S.Routt,Oakland,CB,Kick Catch Interference,0
S.Routt,Oakland,CB,Delay of Game,45
S.Routt,Oakland,CB,Illegal Cut,0
S.Routt,Oakland,CB,Invalid Fair Catch Signal,0
S.Routt,Oakland,CB,Face Mask,0
S.Routt,Oakland,CB,Illegal Kick,0
S.Routt,Oakland,CB,Illegal Crackback,0
S.Routt,Oakland,CB,Lowering the Head to Make Forcible Contact,0
S.Routt,Oakland,CB,Illegal Forward Handoff,0
S.Smith,Miami,CB,Illegal Contact,5
S.Spencer,San Francisco,CB,Delay of Game,45
S.Spencer,San Francisco,CB,Invalid Fair Catch Signal,0
S.Spencer,San Francisco,CB,Leverage,0
S.Spencer,San Francisco,CB,Offside on Free Kick,15
S.Spencer,San Francisco,CB,Defensive Delay of Game,5
S.Springs,New England,CB,Ineligible Downfield Kick,10
T.Brackenridge,Jacksonville,CB,Ineligible Downfield Kick,0
T.Brackenridge,Jacksonville,CB,Defensive Holding,15
T.Law,Denver,CB,Disqualification,0
T.McGee,Buffalo,CB,Short Free Kick,0
T.Williams,Green Bay,CB,Face Mask (15 Yards),45
